,vender,url,product,description,image,price,live,quantity
10,Kono Store,https://kono.store/collections/switches/products/kailh-silent-switches,Kailh Silent Switches,"Kailh Silent switches offer gentle bottom-out and quiet operation due to an internal shock absorbing system, which reduces keystroke impacts. silent box switches, but round New stems and tooling turned the BOX switch series round; Kailh's BOX naming scheme refers to the internal contact assembly and not stem shape. The",https://cdn.shopify.com/s/files/1/1994/3097/products/CPG1511F01S37_1200x1200.jpg?v=1620766576,$5.99,True," Kailh Silent switches offer gentle bottom-out and quiet operation due to an internal shock absorbing system, which reduces keystroke impacts.      silent box switches, but round  New stems and tooling turned the BOX switch series round; Kailh's BOX naming scheme refers to the internal contact assembly and not stem shape. These agile switches are great for people who need low noise without sacrifices in tactility or responsiveness. Kailh also made efforts to adjust general switch feel.    View Switch Collection    box silent impressions  Since Silent Rose and Brown switches haven't been measured by a third party, we'll include some subjective impressions. The linear version feels incredibly ""close to its spring"" (like a car is close to the road), light, and reasonably smooth. The tactile version is unusually tactile for a mass-market model (like a less aggressive Royal Purple switch). Both offer a quality user experience, but bottom out is virtually guaranteed.      Travel distance feels like it has been reduced to accommodate dampeners. Both variants handle friction from off-center presses in a lightly factory lubed vintage-feeling way. They share a super cushy keypress bottom out as well.      These switches will be available in BOX and standard stem formats with linear and tactile variants, shown below.        details  Surface-mount LED compatible
MX-stem keycap compatible
Hot-swap compatible (plate mount)
10 switches per bag  measurements  Kailh Silent BOX Rose [BOX Silent Pink] (Linear) - 3.6mm travel, 35g Actuation / 45g Bottom Out
Kailh Silent BOX Brown [BOX Silent Brown] (Tactile) - 3.6mm travel, 45g Actuation / 65g Tactile Point / ~62g Bottom Out "
11,Kono Store,https://kono.store/collections/switches/products/hako-violet-mechanical-switches,Hako Violet Mechanical Switches (Pre-retooling),"The Hako Violet switch is our lightest variant. Hako switches have a smooth tactile profile that encourages touch typing, yet a light enough weight to avoid fatigue while gaming.",https://cdn.shopify.com/s/files/1/1994/3097/products/Hako-Violet-Product_1200x800.png?v=1520363689,$17.99,True," 50% off pre-retooling stock while supplies last!  Hako Violet switches, designed by Input Club, use lighter springs due to feedback from the keyboard community. Elements from Cherry MX Clear and Topre are combined with less resistance to create a comfortable switch for smooth typists. Precision molds and tooling from Kaihua made the switches last 25% longer than regular MX variants during stress testing. In addition, the bespoke slider design virtually eliminates wobble.    View Switch Collection    Compatibility Note: pre-retooling Box switches may cause cracking in certain aftermarket ABS keycap sets — notably those from GMK. PBT / POM keycaps will not crack, but they may experience stretching. Internal testing indicates that the cracking / stretching does not affect GMK / aftermarket sets universally, so yours may fit correctly on Box switches. We recommend testing a spare keycap on your Box switches for at least two weeks, then performing a visual inspection / fitment test on Cherry MX switches, before applying the entire set.  Community enthusiasts Jacob Alexander (HaaTa) and Brandon Muzzin (Over^Kill) designed custom springs and sliders for the Hako line. Hako Violets use a light spring and have a peak tactile point of (approximately) 40 grams. Tactility occurs early in the key press. A 10 gram post-tactile cushion, in the form of a resistance ramp, reduces bottom out harshness.  Box switches use a square slider design and sealed contacts that provide superior contaminant protection. If liquids or dust somehow penetrate a switch, lower housing vents and a slider drainage port eject the unwanted substances.  details  36 or ﻿120 switches per pack
Light weight: 40 gram tactile point, 50 gram spring
Notable tactility
Tooling designed and owned by Input Club
Kaihua Box switch architecture
Rated for 80 million keypresses
Self-cleaning slider and housing design
Through-Hole and SMD LED Compatible   "
12,Kono Store,https://kono.store/collections/switches/products/kono-midnight-switches,Kono Midnight Switches,"The first custom Kono switch! The Kono Midnight Switch is a meticulously crafted non-clicky tactile switch with a satisfying and distinct tactility. This silky tactile switch is for speed typists and gamers alike, with a clean bottom-out that doesn't impede actuation. 69g gold plated springs are complimented by a custo",https://cdn.shopify.com/s/files/1/1994/3097/products/MidnightSwitches_Single_001_1200x1200.jpg?v=1624575815,$8.49,True," The first custom Kono switch! The Kono Midnight Switch is a meticulously crafted non-clicky tactile switch with a satisfying and distinct tactility. This silky tactile switch is for speed typists and gamers alike, with a clean bottom-out that doesn't impede actuation. 69g gold plated springs are complimented by a custom Kono midnight colorway. These switches are hot-swap compatible, check out our hot-swap keyboard collection!  Pair with the Kono Midnight Stabilizers!  View Switch Collection  details  Surface-mount LED compatible
MX-stem keycap compatible
Hot-swap compatible (3-pin / plate mount)
69g Gold Plated Custom Lengthened Spring
3mm total travel

50g actuation, 65g peak, 0.4 mm pre-travel
Custom-formula synthetic grease for reduced noise and smooth travel
POM stem
Polycarbonate casing

50 million actuation lifespan

Tactile (non-clicky)

10 switches per bag
Produced by JWK  ﻿Thanks Nebulant for the force curve graph! "
13,Kono Store,https://kono.store/collections/switches/products/kailh-polia-switch-10-ct,Kailh Polia Switch (10 ct.),"Polia switches are an incredibly chunky tactile switch with a long and distinct bump. They are a medium weight switch that's a perfect middle ground for having a crisp press but not tiring out your fingers during long sessions. These have been compared to Holy Panda switches, meaning the tactility is strong and perfect",https://cdn.shopify.com/s/files/1/1994/3097/products/KailhPoliaRender_1200x1200.png?v=1654282573,$5.99,True," Polia switches are an incredibly chunky tactile switch with a long and distinct bump. They are a medium weight switch that's a perfect middle ground for having a crisp press but not tiring out your fingers during long sessions. These have been compared to Holy Panda switches, meaning the tactility is strong and perfect for those who don't mind a bit of thock in their switch!  specifications  Kailh Polia Switch - Tactile:60 ± 10gf Activation force | 1.9mm Pretravel | 3.8mm total travel | 70 million keypresses  details  10 switches per pack
Hot-swap compatible (plate mount / 3-pin)
Compatible with Cherry MX-mount keycap sets
Over 70 million press lifespan   "
14,Kono Store,https://kono.store/collections/switches/products/kailh-box-brown-mechanical-switches-10-count,Kailh BOX Brown Switch (10 ct.),"Box Brown switches provide sharply tactile, light key travel with numerous advantages from Kaihua's Box switch architecture. Precision molds and tooling result in an increased lifespan — Box switches last 25% longer than regular MX variants during stress testing. The square stems also virtually eliminate wobble.",https://cdn.shopify.com/s/files/1/1994/3097/products/box_brown_close_91ac69e2-0abc-4ddb-911c-6f8d789727f8_1200x802.jpg?v=1562972656,$3.00,True," BOX Brown switches provide sharply tactile, light key travel with numerous advantages from Kaihua's BOX switch architecture. Precision molds and tooling result in an increased lifespan — BOX switches last 25% longer than regular MX variants during stress testing. The square stems also virtually eliminate wobble.  View Switch Collection  The slider design and sealed contacts provide superior contaminant protection. If liquids or dust somehow penetrate a switch, lower housing vents and a slider drainage port eject the unwanted substances.  details  10 switches per pack
Light weight: 48 gram tactile point, 50 gram spring
Notable tactility
Kailh BOX switch architecture
Rated for 80 million keypresses
Self-cleaning slider and housing design
Hot-swap compatible (plate mount)
SMD LED Compatible   "
15,Kono Store,https://kono.store/collections/switches/products/gopolar-azure-dragon-switches-v2-10-ct,Gopolar Azure Dragon Switches V2 (10 ct.),"With a 63g activation force and a 67g bottom out force, Gopolar Azure Dragon V2 Switches offer a medium-strong typing experience that's ideal for heavy-handed typists and gamers who often find themselves making accidental keystrokes.  The V2 has been upgraded in multiple ways. The upper cover mold has been modified to ",https://cdn.shopify.com/s/files/1/1994/3097/products/WeChatImage_20221102142623_1200x801.png?v=1667424436,$6.99,True," With a 63g activation force and a 67g bottom out force, Gopolar Azure Dragon V2 Switches offer a medium-strong typing experience that's ideal for heavy-handed typists and gamers who often find themselves making accidental keystrokes.  The V2 has been upgraded in multiple ways. The upper cover mold has been modified to solve an issue that could cause damage when being pulled out. The springs have been upgraded with gold plating to increase their strength. And the bottom case mold and material have been upgraded to POM to enhance their bottoming-out sound and to make them easier to pull up.  The switch housing is made of a combination of transparent polycarbonate and resilient low-friction POM stem for smooth and muted downstrokes, while a two-stage gold-plated spring delivers a faster, firm upstroke. Lubrication has been added to each switch to dampen auditory resonance across your board.  Check out the paired Gopolar Tai-Chi GG86 Mechanical Keyboard!  specifications  Gopolar Azure Dragon Switches – Tactile:63 ± 10g Activation force | 67g Bottom-out | 2mm Pretravel | 3.6mm total travel | 50 million keypresses  details  10-switches per pack
5-pin PCB mount
compatible with Cherry MX-mount keycap sets
Pre-lubed from factory
Gold plated 18mm two stage spring
POM stem 
Transparent Polycarbonate, lens mold top housing
POM bottom housing "
16,Kono Store,https://kono.store/collections/switches/products/kono-sunset-switches,Kono Sunset Switches,The linear Kono Sunset Switch expands upon our new collection of carefully designed Kono switches! This satisfyingly smooth linear switch with a medium weight spring is perfect for a soft and unimpeded typing experience. The Sunset Switches include our custom 63.5g gold plated spring with a beautiful sunset colorway. W,https://cdn.shopify.com/s/files/1/1994/3097/products/SunsetSwitch_Single_002V2_1200x900.png?v=1638998565,$8.49,True," The linear Kono Sunset Switch expands upon our new collection of carefully designed Kono switches! This satisfyingly smooth linear switch with a medium weight spring is perfect for a soft and unimpeded typing experience. The Sunset Switches include our custom 63.5g gold plated spring with a beautiful sunset colorway. With a clean 48g actuation, this spring sits right at the perfect weight for both typing and gaming for long sessions. It gives enough resistance to reduce mistakes without creating fatigue, even with heavy use.  Check out the partner tactile Kono Sunrise Switch!  These switches are hot-swap compatible, so check out our hot-swap keyboard collection!  View Switch Collection  details  Linear


10 switches per bag
Surface-mount LED compatible
MX-stem keycap compatible
Hot-swap compatible (3-pin / plate mount)
48g actuation, 63.5g bottom-out Gold Plated Custom Lengthened Spring
2mm actuation, 3.8mm total travel

Custom-formula synthetic grease for reduced noise and smooth travel
POM stem
Polycarbonate casing

Produced by JWK  ﻿  Thanks Nebulant for the force curve graph! "
17,Kono Store,https://kono.store/collections/switches/products/keyfirst-bling-switches,Keyfirst Bling Switches,"Keyfirst Bling Switches maintain an excellent feel with high quality materials. Expect smooth actuation and travel, due to it's high accuracy molds and tight consistencies. Available in numerous spring weights to match your preferences, these linear switches are the perfect companion to your favorite board! specificati",https://cdn.shopify.com/s/files/1/1994/3097/products/IMG_0623_1200x987.jpg?v=1636071049,$5.50,True," Keyfirst Bling Switches maintain an excellent feel with high quality materials. Expect smooth actuation and travel, due to it's high accuracy molds and tight consistencies. Available in numerous spring weights to match your preferences, these linear switches are the perfect companion to your favorite board!  specifications  Keyfirst Bling Yellow – Linear:30g Activation force | 2mm Pretravel | 3.8mm total travel


Keyfirst Bling Pink – Linear:45g Activation force | 2mm Pretravel | 3.8mm total travel


Keyfirst Bling Purple – Linear:62g Activation force | 2mm Pretravel | 3.8mm total travel


Keyfirst Bling Blue – Linear:67g Activation force | 2mm Pretravel | 3.8mm total travel


Keyfirst Bling Green – Linear:80g Activation force | 2mm Pretravel | 3.8mm total travel  details  10 switches per pack
5-pin PCB mount
Compatible with Cherry MX-mount keycap sets
Optimized for use with SMD LEDs 
Pre-lubed from factory
Molds made from Japanese Elmax Steel which creates high accuracy, low wobble and a smooth surface
Material: Housing - Polycarbonate; Stem - POM
Spring: Gold plated two-part spring made by KOS of Korea
Rated for 60 million keypresses  force curve graphs:  Bling Yellow      Bling Pink      Bling Purple      Bling Blue      Bling Green   "
18,Kono Store,https://kono.store/collections/switches/products/kailh-speed-switches,Kailh Speed Switches,"Kailh Speed switches respond fast. They offer a higher activation point than normal switches, reducing the press-distance and time required for inputs. Frankly, it can feel like they're reading your mind. That sensitivity makes Speed switches ideal for gamers and skilled typists. View Switch Collection  specifications ",https://cdn.shopify.com/s/files/1/1994/3097/products/Copper_Switches_-_OS_1200x800.jpg?v=1633636436,$2.80,True," Kailh Speed switches respond fast. They offer a higher activation point than normal switches, reducing the press-distance and time required for inputs. Frankly, it can feel like they're reading your mind. That sensitivity makes Speed switches ideal for gamers and skilled typists.  View Switch Collection  specifications  Kailh Speed Bronze – Clicky:50g Activation / 65g Bottom Out | 1.1mm activation | 3.5mm travel


Kailh Speed Copper – Tactile:50g Activation / 60g Bottom Out | 1.1mm activation | 3.5mm travel

Kailh Speed Silver – Linear:50g Activation / 70g Bottom Out | 1.1mm activation | 3.5mm travel

Kailh Speed Pink – Clicky:50g Activation / 65g Bottom Out | 1.1mm activation | 3.5mm travel
Kailh Speed Gold – Clicky:50g Activation / 60g Bottom Out | 1.4mm activation | 3.5mm travel  details  10 switches per pack
Plate Mount (3-pin)
Light resistance: 50 gram manufacturer rated activation point
RGB Light Pipe, SMD LED compatible
Hot-swap compatible (plate mount)
Compatible with Cherry MX-mount keycap sets "
19,Kono Store,https://kono.store/collections/switches/products/ttc-switches,TTC Switches,"These switches by TTC are excellent all-rounders for typing and gaming. With an activation force between 42 and 45g, they’re lightweight enough for marathon writing sessions yet not so sensitive that they’ll activate on minor accidental keystrokes.  Each switch uses a POM stem that delivers smooth and scratchless keyst",https://cdn.shopify.com/s/files/1/1994/3097/products/TTC-Switches_1200x800.jpg?v=1644969523,$6.99,True," These switches by TTC are excellent all-rounders for typing and gaming. With an activation force between 42 and 45g, they’re lightweight enough for marathon writing sessions yet not so sensitive that they’ll activate on minor accidental keystrokes.  Each switch uses a POM stem that delivers smooth and scratchless keystrokes. Factory pre-lubing contributes to an overall less resonant keyboard and saves you from having to lube them yourself.  specifications  TTC Silent Bluish White Switch – Tactile:42 ± 10g Activation force | 2mm Pretravel | 3.5mm total travel | 80 million keypresses


TTC Honey (Heart) Switch – Linear:42 ± 5g Activation force | 2mm Pretravel | 3.8mm total travel | 100 million keypresses


TTC Flame Red Switch – Linear:45 ± 5g Activation force | 2mm Pretravel | 4.0mm total travel | 100 million keypresses  details  10-switches per pack

3-pin plate mount
compatible with Cherry MX-mount keycap sets
Pre-lubed from factory
Double gold contacts
SMD LED compatible "
20,Kono Store,https://kono.store/collections/switches/products/cherry-mx-rgb-switches,Cherry MX RGB Switches,"Cherry MX switches offer a standard path into the mechanical keyboard world. They're well known, reasonably durable, and German-engineered. Other objectively competitive switches are available on Kono Store, but sometimes a classic option is welcome. specifications Cherry MX RGB Blue – Clicky:60 cN Activation force | 2",https://cdn.shopify.com/s/files/1/1994/3097/products/CherryMXBlueRGB_1200x800.jpg?v=1621463755,$8.99,True," Cherry MX switches offer a standard path into the mechanical keyboard world. They're well known, reasonably durable, and German-engineered. Other objectively competitive switches are available on Kono Store, but sometimes a classic option is welcome.
specifications


Cherry MX RGB Blue – Clicky:60 cN Activation force | 2.2mm Pretravel | 4.0mm total travel


Cherry MX RGB Brown – Tactile:55 cN Activation force | 2.0mm Pretravel | 4.0mm total travel


Cherry MX RGB Black – Linear:60 cN Activation force | 2.0mm Pretravel | 4.0mm total travel


Cherry MX RGB Red – Linear:45 cN Activation force | 2.0mm Pretravel | 4.0mm total travel

details

10 switches per pack
Plate Mount
Hot-swap compatible (plate mount)
Compatible with Cherry MX-mount keycap sets
Optimised for use with SMD LEDs (RGB or single colour) "
